Main Process' PID = 9911 
k = 1, PPID = 9404, pID = 9911, I'm Alive!
k = 2, PPID = 9404, pID = 9911, I'm Alive!
k = 1, PPID = 9911, pID = 9912, I'm Alive!
k = 3, PPID = 9404, pID = 9911, I'm Alive!
k = 2, PPID = 9911, pID = 9912, I'm Alive!
k = 3, PPID = 5801, pID = 9912, I'm Alive!
k = 3, PPID = 5801, pID = 9916, I'm Alive!
k = 2, PPID = 5801, pID = 9915, I'm Alive!
k = 3, PPID = 5801, pID = 9915, I'm Alive!
k = 2, PPID = 5801, pID = 9913, I'm Alive!
k = 3, PPID = 5801, pID = 9917, I'm Alive!
k = 3, PPID = 5801, pID = 9913, I'm Alive!
k = 3, PPID = 5801, pID = 9914, I'm Alive!
k = 3, PPID = 5801, pID = 9918, I'm Alive!
Main Process' PID = 9959 
k = 1, PPID = 9404, pID = 9959, I'm Alive!
k = 2, PPID = 9404, pID = 9959, I'm Alive!
k = 1, PPID = 9959, pID = 9960, I'm Alive!
k = 3, PPID = 9404, pID = 9959, I'm Alive!
k = 2, PPID = 9959, pID = 9960, I'm Alive!
k = 3, PPID = 5801, pID = 9960, I'm Alive!
k = 3, PPID = 5801, pID = 9964, I'm Alive!
k = 2, PPID = 5801, pID = 9961, I'm Alive!
k = 3, PPID = 5801, pID = 9961, I'm Alive!
k = 2, PPID = 5801, pID = 9963, I'm Alive!
k = 3, PPID = 5801, pID = 9963, I'm Alive!
k = 3, PPID = 5801, pID = 9965, I'm Alive!
k = 3, PPID = 5801, pID = 9962, I'm Alive!
k = 3, PPID = 5801, pID = 9966, I'm Alive!
Main Process' PID = 9967 
k = 1, PPID = 9404, pID = 9967, I'm Alive!
k = 1, PPID = 9967, pID = 9968, I'm Alive!
k = 2, PPID = 9404, pID = 9967, I'm Alive!
k = 2, PPID = 9967, pID = 9968, I'm Alive!
k = 3, PPID = 9404, pID = 9967, I'm Alive!
k = 3, PPID = 9967, pID = 9968, I'm Alive!
k = 3, PPID = 5801, pID = 9972, I'm Alive!
k = 2, PPID = 5801, pID = 9970, I'm Alive!
k = 3, PPID = 5801, pID = 9970, I'm Alive!
k = 3, PPID = 9970, pID = 9973, I'm Alive!
k = 2, PPID = 5801, pID = 9969, I'm Alive!
k = 3, PPID = 5801, pID = 9969, I'm Alive!
k = 3, PPID = 5801, pID = 9971, I'm Alive!
k = 3, PPID = 5801, pID = 9974, I'm Alive!
